Park Name,County,Acres
Alta Lake State Park,Okanogan,181
Anderson Lake State Park,Jefferson ,476
Battle Ground Lake State Park,Clark ,280
Bay View State Park,Skagit ,25
Beacon Rock State Park,Skamania ,5100
Belfair State Park,Mason ,65
Birch Bay State Park,Whatcom ,194
Blake Island State Park,Kitsap ,475
Blind Island State Park,San Juan ,3
Bogachiel State Park,Clallam ,123
Bottle Beach State Park,Grays Harbor ,75
Bridgeport State Park,Okanogan ,748
Bridle Trails State Park,King ,482
Brooks Memorial State Park,Klickitat ,700
Cama Beach State Park,Island ,433
Camano Island State Park,Island ,134
Camp Wooten Retreat Center,Columbia ,40
Cape Disappointment State Park,Pacific ,1882
Centennial Trail State Park,Spokane ,525
Clark Island State Park,San Juan ,55
Columbia Hills State Park,Klickitat ,3338
Columbia Plateau Trail State Park,Adams ,3880
Conconully State Park,Okanogan ,81
Crawford State Park,Pend Oreille ,49
Curlew Lake State Park,Ferry ,123
Cutts Island State Park,Pierce ,2
Daroga State Park,Douglas ,90
Dash Point State Park,King ,398
Deception Pass State Park,Island ,4134
Doe Island State Park,San Juan ,7
Dosewallips State Park,Jefferson ,425
Doug's Beach State Park,Klickitat ,400
Eagle Island State Park,Pierce ,10
Federation Forest State Park,King ,619
Fields Spring State Park,Asotin ,792
Flaming Geyser State Park,King ,480
Fort Casey State Park,Island ,467
Fort Columbia State Park,Pacific ,593
Fort Ebey State Park,Island ,645
Fort Flagler State Park,Jefferson ,784
Fort Simcoe State Park,Yakima ,200
Fort Townsend State Park,Jefferson ,367
Fort Worden State Park,Jefferson ,434
Ginkgo Petrified Forest State Park/Wanapum Recreational Area,Kittitas ,7470
Goldendale Observatory State Park,Klickitat ,5
Grayland Beach State Park,Pacific ,412
Griffiths-Priday Ocean State Park,Grays Harbor ,364
Harstine Island State Park,Mason ,471
Hope Island State Park (Mason County),Mason ,106
Hope Island State Park (Skagit County),Skagit ,200
Ike Kinswa State Park,Lewis ,454
Illahee State Park,Kitsap ,75
Iron Horse State Park,"Kittitas, King",1612
James Island State Park,San Juan ,117
Jarrell Cove State Park,Mason ,43
Joemma Beach State Park,Pierce ,122
Jones Island State Park,San Juan ,190
Joseph Whidbey State Park,Island ,112
Kanaskat-Palmer State Park,King ,320
Kinney Point State Park,Jefferson ,76
Kitsap Memorial State Park,Kitsap ,58
Kopachuck State Park,Pierce ,109
Lake Chelan State Park,Chelan ,127
Lake Easton State Park,Kittitas ,516
Lake Isabella State Park,Mason ,188
Lake Sammamish State Park,King ,512
Lake Sylvia State Park,Grays Harbor ,252
Lake Wenatchee State Park,Chelan ,489
Larrabee State Park,Whatcom ,2683
Leadbetter Point State Park,Pacific ,1698
Lewis and Clark State Park,Lewis ,621
Lewis and Clark Trail State Park,Columbia ,37
Lime Kiln Point State Park,San Juan ,36
Lincoln Rock State Park,Douglas ,80
Lyons Ferry Park,Franklin ,1000
Loomis Lake State Park,Pacific ,385
Manchester State Park,Kitsap ,111
Maryhill State Park,Klickitat ,99
Matia Island State Park,San Juan ,145
McMicken Island State Park,Mason ,11.5
Millersylvania State Park,Thurston ,842
Moran State Park,San Juan ,5000
Mount Pilchuck State Park,Snohomish ,1893
Mount Spokane State Park,Spokane ,13919
Mystery Bay State Park,Jefferson ,10
Nolte State Park,King ,117
Obstruction Pass State Park,San Juan ,76
Ocean City State Park,Grays Harbor ,170
Olallie State Park,King ,2338
Olmstead Place State Park,Kittitas ,217
Pacific Beach State Park,Grays Harbor ,10
Pacific Pines State Park,Pacific ,10
Palouse Falls State Park,"Franklin, Whitman",105
Paradise Point State Park,Clark ,88
Patos Island State Park,San Juan ,207
Peace Arch State Park,Whatcom ,20
Pearrygin Lake State Park,Okanogan ,696
Penrose Point State Park,Pierce ,152
Peshastin Pinnacles State Park,Chelan ,34
Pleasant Harbor State Park,Jefferson ,425
Posey Island State Park,San Juan ,1
Potholes State Park,Grant ,640
Potlatch State Park,Mason ,125
Rainbow Falls State Park,Lewis ,139
Rasar State Park,Skagit ,169
Reed Island State Park,Clark ,510
Riverside State Park,Spokane ,10885
Rockport State Park,Skagit ,670
Rothschild House State Park,Jefferson ,0.5
Sacajawea State Park,Franklin ,284
Saddlebag Island State Park,San Juan ,24
Saint Edward State Park,King ,316
Saltwater State Park,King ,87.4
Scenic Beach State Park,Kitsap ,88
Schafer State Park,Mason ,119
Seaquest State Park,Cowlitz ,475
Sequim Bay State Park,Clallam ,92
Shine Tidelands State Park,Jefferson ,13
Skagit Island State Park,Skagit ,24
Skull Island State Park,San Juan ,3.2
South Whidbey Island State Park,Island ,347
Spencer Spit State Park,San Juan ,138
Spring Creek Hatchery State Park,Skamania ,9.6
Squak Mountain State Park,King ,1545
Squilchuck State Park,Chelan ,228
Steamboat Rock State Park,Grant ,3522
Steptoe Battlefield State Park,Whitman ,4
Steptoe Butte State Park,Whitman ,150
Stretch Point State Park,Mason ,8
Stuart Island State Park,San Juan ,85
Sucia Island State Park,San Juan ,814
Sun Lakes-Dry Falls State Park,Grant ,4027
Tolmie State Park,Thurston ,105
Triton Cove State Park,Jefferson ,29
Turn Island State Park,San Juan ,35
Twanoh State Park,Mason ,182
Twenty-Five Mile Creek State Park,Chelan ,235
Twin Harbors State Park,Grays Harbor ,172
Wallace Falls State Park,Snohomish ,4735
Wenatchee Confluence State Park,Chelan ,197
Westhaven State Park,Grays Harbor ,79
Westport Light State Park,Grays Harbor ,212
Yakima Sportsman State Park,Yakima ,247
